PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN_TEMP
T2M,2000,4.56,8.79,11.8,15.38,23.17,23.99,28.46,32.19,26.16,18.41,5.9,-0.95,16.51
T2M,2001,1.54,4.9,7.82,17.48,21.13,25.62,31.58,29.8,22.1,15.83,12.51,5.82,16.4
T2M,2002,4.19,4.42,8.45,16.86,19.8,25.41,28.08,28.74,24.34,14.44,8.17,3.8,15.62
T2M,2003,2.18,3.71,9.65,16.94,22.39,23.91,30.32,30.21,21.69,18.24,10.74,5.45,16.37
T2M,2004,4.19,4.28,12.91,16.58,23.12,24.33,26.44,25.59,24.7,18.2,9.87,4.44,16.26
T2M,2005,3.71,7.27,9.72,15.98,21.23,27.08,28.18,27.91,25.76,17.46,11.9,3.7,16.69
T2M,2006,8.33,5.57,12.91,19.94,22.76,27.65,31.02,30.77,22.16,16.57,10.24,4.88,17.81
T2M,2007,0.58,4.49,14.44,13.5,20.55,23.66,25.24,26.65,22.76,17.26,10.34,3.17,15.28
T2M,2008,3.31,4.9,10.63,14.7,21.08,26.73,29.43,27.35,22.47,16.68,10.1,3.77,15.96
T2M,2009,2.29,8.71,12.02,15.99,19.39,26.54,28.69,27.4,21.94,13.53,11.37,1.01,15.76
T2M,2010,1.13,1.82,9.07,16.62,21.09,28.08,28.23,30.87,24.48,17.44,10.39,3.99,16.18
T2M,2011,1.8,4.87,12.54,18.92,21.26,31,34.72,34.03,23.8,17.25,9.73,4.44,17.94
T2M,2012,5.24,6.87,14.9,18.68,23.31,26.92,31.75,29.65,25.22,16.4,12.14,5.9,18.12
T2M,2013,4.52,5.68,9.19,13.51,20.13,25.4,27.13,27.96,25.69,16.76,8.22,1.25,15.51
T2M,2014,2.14,2.95,8.35,16.52,22.1,25.83,27.33,29.07,24.57,19.53,7.32,5.75,16.04
T2M,2015,3.08,3.39,10.84,17.04,19.7,25.01,26.69,25.32,24.98,17.94,10.67,5.83,15.94
T2M,2016,2.36,7.96,12.54,16.57,19.4,25.63,28.8,28.4,24.78,20.07,13.45,4.04,17.01
T2M,2017,4.85,9.88,14.28,16.91,20.33,26.18,29.64,26.12,23.92,16.76,11.74,4.55,17.13
T2M,2018,2.32,4.9,11.95,12.98,24.01,28.01,29.82,27.9,23.34,15.75,6.59,4.54,16.08
T2M,2019,2.8,4.79,8.6,15.94,20.37,23.98,26.55,28.72,26.92,15.05,7.94,5.87,15.69
T2M,2020,5.55,5.04,13.32,14.52,20.05,25.73,29.15,28,21.52,14.96,11.99,4.85,16.26
