Name,2023 Precipitation Value,2023 Precipitation Rank,Precipitation Anomaly (1901-2000 base period),Precipitation 1901-2000 Mean
Adair County,17.81,84,1.89,15.92
Alfalfa County,16.83,110,4.75,12.08
Atoka County,12.66,47,-2.03,14.69
Beaver County,18.74,129,8.66,10.08
Beckham County,13.1,99,2.64,10.46
Blaine County,20.27,124,8.34,11.93
Bryan County,11.06,45,-2.27,13.33
Caddo County,16.14,104,3.83,12.31
Canadian County,18.15,114,5.6,12.55
Carter County,11.3,48,-1.69,12.99
Cherokee County,18.29,90,2.64,15.65
Choctaw County,13.47,70,-0.79,14.26
Cimarron County,12.41,116,3.59,8.82
Cleveland County,14.2,77,0.98,13.22
Coal County,12.58,49,-2.02,14.6
Comanche County,11.95,72,0.32,11.63
Cotton County,9.74,45,-1.67,11.41
Craig County,16.44,68,-0.42,16.86
Creek County,14.55,66,-0.27,14.82
Custer County,18.85,123,7.56,11.29
Delaware County,19.7,98,3.21,16.49
Dewey County,18.82,125,7.54,11.28
Ellis County,18.97,127,8.34,10.63
Garfield County,15.45,87,2.39,13.06
Garvin County,13.2,72,0.01,13.19
Grady County,13.21,79,0.69,12.52
Grant County,15.03,84,1.98,13.05
Greer County,11.61,81,1.01,10.6
Harmon County,9.44,53,-0.86,10.3
Harper County,20.19,129,9.33,10.86
Haskell County,16.84,87,1.57,15.27
Hughes County,14.8,68,0.02,14.78
Jackson County,9.07,48,-1.44,10.51
Jefferson County,9.91,44,-1.89,11.8
Johnston County,11.38,43,-2.36,13.74
Kay County,13.34,50,-1.44,14.78
Kingfisher County,17.6,113,5.45,12.15
Kiowa County,12.48,87,1.32,11.16
Latimer County,17.77,91,1.88,15.89
Le Flore County,16.76,84,1.12,15.64
Lincoln County,15.74,81,1.62,14.12
Logan County,15.29,90,2.24,13.05
Love County,9.6,34,-2.71,12.31
McClain County,13.52,74,0.44,13.08
McCurtain County,18.15,96,2.81,15.34
McIntosh County,15.74,74,0.82,14.92
Major County,17.41,121,5.62,11.79
Marshall County,10.47,38,-2.58,13.05
Mayes County,18.84,95,2.91,15.93
Murray County,12.51,56,-1.26,13.77
Muskogee County,16.01,76,0.73,15.28
Noble County,13.34,64,-0.82,14.16
Nowata County,14.09,46,-1.93,16.02
Okfuskee County,16.22,83,1.76,14.46
Oklahoma County,15.96,92,2.87,13.09
Okmulgee County,14.62,62,-0.21,14.83
Osage County,13.62,54,-1.5,15.12
Ottawa County,18.62,87,1.93,16.69
Pawnee County,13.74,61,-0.81,14.55
Payne County,14.84,70,0.68,14.16
Pittsburg County,16.34,80,0.9,15.44
Pontotoc County,12.95,50,-1.2,14.15
Pottawatomie County,14.54,69,0.83,13.71
Pushmataha County,15.4,69,-0.45,15.85
Roger Mills County,16.05,121,5.4,10.65
Rogers County,16.53,82,1.22,15.31
Seminole County,14.73,72,0.59,14.14
Sequoyah County,16.12,80,0.91,15.21
Stephens County,12.74,69,0.43,12.31
Texas County,13.22,114,3.62,9.6
Tillman County,8.82,43,-1.92,10.74
Tulsa County,14.43,67,-0.52,14.95
Wagoner County,16.15,76,0.85,15.3
Washington County,14.65,60,-0.79,15.44
Washita County,17.69,117,6.52,11.17
Woods County,18.63,127,7.02,11.61
Woodward County,19.34,127,8.24,11.1
